date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:26	31776/31776	---M--	200	added ('OK')	text/html	etag:%22292d7-7c20-0%22	http://cablegate.wikileaks.org/cable/2009/09/09BEIJING2494.html	cablegate.wikileaks.org/cable/2009/09/09BEIJING2494.html	(from http://cablegate.wikileaks.org/)
15:47:26	32609/32609	---M--	200	added ('OK')	text/html	etag:%22292d8-7f61-0%22	http://cablegate.wikileaks.org/cable/2009/09/09BERLIN1106.html	cablegate.wikileaks.org/cable/2009/09/09BERLIN1106.html	(from http://cablegate.wikileaks.org/)
15:47:26	32727/32727	---M--	200	added ('OK')	text/html	etag:%22292dd-7fd7-0%22	http://cablegate.wikileaks.org/cable/2009/09/09JEDDAH343.html	cablegate.wikileaks.org/cable/2009/09/09JEDDAH343.html	(from http://cablegate.wikileaks.org/)
15:47:26	33790/33790	---M--	200	added ('OK')	text/html	etag:%22292df-83fe-0%22	http://cablegate.wikileaks.org/cable/2009/09/09RPODUBAI379.html	cablegate.wikileaks.org/cable/2009/09/09RPODUBAI379.html	(from http://cablegate.wikileaks.org/)
15:47:27	41116/41116	---M--	200	added ('OK')	text/html	etag:%22292de-a09c-0%22	http://cablegate.wikileaks.org/cable/2009/09/09PARIS1254.html	cablegate.wikileaks.org/cable/2009/09/09PARIS1254.html	(from http://cablegate.wikileaks.org/)
15:47:27	30057/30057	---M--	200	added ('OK')	text/html	etag:%22292d6-7569-0%22	http://cablegate.wikileaks.org/cable/2009/09/09ASHGABAT1182.html	cablegate.wikileaks.org/cable/2009/09/09ASHGABAT1182.html	(from http://cablegate.wikileaks.org/)
15:47:27	26836/26836	---M--	200	added ('OK')	text/html	etag:%2228d31-68d4-0%22	http://cablegate.wikileaks.org/cable/2009/09/09STATE96222.html	cablegate.wikileaks.org/cable/2009/09/09STATE96222.html	(from http://cablegate.wikileaks.org/)
15:47:27	45288/45288	---M--	200	added ('OK')	text/html	etag:%22199e9-b0e8-0%22	http://cablegate.wikileaks.org/cable/2009/09/09STATE96550.html	cablegate.wikileaks.org/cable/2009/09/09STATE96550.html	(from http://cablegate.wikileaks.org/)
15:47:28	37804/37804	---M--	200	added ('OK')	text/html	etag:%22292d9-93ac-0%22	http://cablegate.wikileaks.org/cable/2009/09/09BERLIN1162.html	cablegate.wikileaks.org/cable/2009/09/09BERLIN1162.html	(from http://cablegate.wikileaks.org/)
15:47:28	36199/36199	---M--	200	added ('OK')	text/html	etag:%22292da-8d67-0%22	http://cablegate.wikileaks.org/cable/2009/09/09BERLIN1167.html	cablegate.wikileaks.org/cable/2009/09/09BERLIN1167.html	(from http://cablegate.wikileaks.org/)
15:47:28	47553/47553	---M--	200	added ('OK')	text/html	etag:%22292db-b9c1-0%22	http://cablegate.wikileaks.org/cable/2009/09/09BERLIN1176.html	cablegate.wikileaks.org/cable/2009/09/09BERLIN1176.html	(from http://cablegate.wikileaks.org/)
15:47:28	28836/28836	---M--	200	added ('OK')	text/html	etag:%22199e8-70a4-0%22	http://cablegate.wikileaks.org/cable/2009/09/09RPODUBAI389.html	cablegate.wikileaks.org/cable/2009/09/09RPODUBAI389.html	(from http://cablegate.wikileaks.org/)
15:47:28	28691/28691	---M--	200	added ('OK')	text/html	etag:%2228d71-7013-0%22	http://cablegate.wikileaks.org/cable/2009/09/09STATE100153.html	cablegate.wikileaks.org/cable/2009/09/09STATE100153.html	(from http://cablegate.wikileaks.org/)
